Source,Target,Type,SourceStation,TargetStation
195,196,undirected,shin-egota,ochiai-minami-nagasaki
196,197,undirected,ochiai-minami-nagasaki,nakai
197,198,undirected,nakai,higashi-nakano
198,25,undirected,higashi-nakano,nakano-sakaue
25,199,undirected,nakano-sakaue,nishi-shinjuku-gochome
199,200,undirected,nishi-shinjuku-gochome,tochomae
200,201,undirected,tochomae,shinjuku-nishiguchi
201,134,undirected,shinjuku-nishiguchi,higashi-shinjuku
134,202,undirected,higashi-shinjuku,wakamatsu-kawada
202,203,undirected,wakamatsu-kawada,ushi-yanagicho
203,204,undirected,ushi-yanagicho,ushigome-kagurazaka
204,64,undirected,ushigome-kagurazaka,iidabashi
64,39,undirected,iidabashi,korakuen
39,162,undirected,korakuen,kasuga
162,38,undirected,kasuga,hongo-sanchome
38,205,undirected,hongo-sanchome,ueno-okachimachi
205,206,undirected,ueno-okachimachi,shin-okachimachi
206,155,undirected,shin-okachimachi,kuramae
155,207,undirected,kuramae,ryogoku
207,182,undirected,ryogoku,morishita
182,116,undirected,morishita,kiyosumi-shirakawa
116,67,undirected,kiyosumi-shirakawa,monzen-nakacho
67,110,undirected,monzen-nakacho,tsukishima
110,208,undirected,tsukishima,kachidoki
208,209,undirected,kachidoki,tsukijishijo
209,210,undirected,tsukijishijo,shiodome
210,151,undirected,shiodome,daimon
151,211,undirected,daimon,akanbanebashi
211,122,undirected,akanbanebashi,azabu-juban
122,45,undirected,azabu-juban,roppongi
45,3,undirected,roppongi,aoyama-itchome
3,212,undirected,aoyama-itchome,kokuritsu-kyogijo
212,213,undirected,kokuritsu-kyogijo,yoyogi
213,27,undirected,yoyogi,shinjuku
27,200,undirected,shinjuku,tochomae
