Source,Target,Type,Id,Label,timeset,Weight,source station,target station
142,157,Undirected,174,,,1,porte de clichy,pont cardinet
157,115,Undirected,175,,,1,pont cardinet,saint-lazare
115,116,Undirected,176,,,1,saint-lazare,madeleine
116,158,Undirected,177,,,1,madeleine,pyramides
158,94,Undirected,178,,,1,pyramides,chatelet
94,159,Undirected,179,,,1,chatelet,gare de lyon
159,160,Undirected,180,,,1,gare de lyon,bercy
160,161,Undirected,181,,,1,bercy,cour saint-emilion
161,162,Undirected,182,,,1,cour saint-emilion,bibliotheque francois mitterrand
162,300,Undirected,183,,,1,bibliotheque francois mitterrand,olympiades
163,164,Undirected,184,,,1,la defense,esplanade de la defense
164,165,Undirected,185,,,1,esplanade de la defense,pont de neuilly
165,166,Undirected,186,,,1,pont de neuilly,les sablons
166,167,Undirected,187,,,1,les sablons,porte maillot
167,168,Undirected,188,,,1,porte maillot,argentine
168,169,Undirected,189,,,1,argentine,charles de gualle-etoile
169,170,Undirected,190,,,1,charles de gualle-etoile,george v
170,57,Undirected,191,,,1,george v,franklin d. roosevelt
57,147,Undirected,192,,,1,franklin d. roosevelt,champs-elysees clemenceau
147,17,Undirected,193,,,1,champs-elysees clemenceau,concorde
17,171,Undirected,194,,,1,concorde,tuileries
171,172,Undirected,195,,,1,tuileries,palais royal-musee du louvre
172,173,Undirected,196,,,1,palais royal-musee du louvre,louvre-rivoli
173,94,Undirected,197,,,1,louvre-rivoli,chatelet
94,95,Undirected,198,,,1,chatelet,hotel de ville
95,174,Undirected,199,,,1,hotel de ville,saint-paul
174,27,Undirected,200,,,1,saint-paul,bastille
27,159,Undirected,201,,,1,bastille,gare de lyon
159,30,Undirected,202,,,1,gare de lyon,reuilly-diderot
30,68,Undirected,203,,,1,reuilly-diderot,nation
68,175,Undirected,204,,,1,nation,porte de vincennes
175,176,Undirected,205,,,1,porte de vincennes,saint-mande
176,177,Undirected,206,,,1,saint-mande,berault
177,301,Undirected,207,,,1,berault,chateau de vincennes
178,179,Undirected,208,,,1,porte dauphine,victor hugo
179,169,Undirected,209,,,1,victor hugo,charles de gualle-etoile
169,180,Undirected,210,,,1,charles de gualle-etoile,ternes
180,181,Undirected,211,,,1,ternes,courcelles
181,182,Undirected,212,,,1,courcelles,monceau
182,183,Undirected,213,,,1,monceau,villiers
183,184,Undirected,214,,,1,villiers,rome
184,145,Undirected,215,,,1,rome,place de clichy
145,185,Undirected,216,,,1,place de clichy,blanche
185,186,Undirected,217,,,1,blanche,anvers
186,187,Undirected,218,,,1,anvers,barbes-rochechouart
187,188,Undirected,219,,,1,barbes-rochechouart,la chapelle
188,189,Undirected,220,,,1,la chapelle,stalingrad
1,190,Undirected,222,,,1,jaures,colonel fabien
190,99,Undirected,223,,,1,colonel fabien,belleville
99,191,Undirected,224,,,1,belleville,couronnes
191,192,Undirected,225,,,1,couronnes,menilmontant
